resting_hr,resting_hr_7d_mean,resting_hr_7d_std,resting_hr_28d_mean,resting_hr_28d_std,total_sleep_min,time_in_bed_min,sleep_efficiency,deep_sleep_min,rem_sleep_min,wake_min,total_sleep_7d_mean,sleep_efficiency_7d_mean,daily_steps,daily_steps_7d_mean,daily_steps_7d_std,unreliable,day_offset
52.0,,,,,559,563.0,99.3,71,180,4,,,709,,,False,0
53.0,,,,,455,462.0,98.5,97,121,7,,,2364,,,False,1
52.0,52.333333333333336,0.5773502691896263,,,459,472.0,97.2,91,118,13,491.0,98.33333333333333,5985,3019.3333333333335,2698.3588221979176,False,2
52.0,52.25,0.5000000000000006,,,430,437.0,98.4,84,124,7,475.75,98.35,8184,4310.5,3394.4865591131747,False,3
51.0,52.0,0.7071067811865478,,,450,473.0,95.1,82,99,23,470.6,97.7,5384,4525.2,2978.6548474101523,False,4
52.0,52.0,0.6324555320336761,,,466,479.0,97.3,81,120,13,469.8333333333333,97.63333333333333,4569,4532.5,2664.2498944355802,False,5
50.0,51.714285714285715,0.9511897312113422,,,435,437.0,99.5,82,114,2,464.85714285714283,97.89999999999999,4912,4586.714285714285,2436.3423209315033,False,6
54.0,52.0,1.2909944487358043,,,469,475.0,98.7,103,114,6,452.0,97.81428571428572,8004,5628.857142857143,2027.0390909379316,False,7
52.0,51.857142857142854,1.2149857925879115,,,453,456.0,99.3,96,130,3,451.7142857142857,97.92857142857143,5629,6095.285714285715,1441.7086754132768,False,8
58.0,52.714285714285715,2.627691364061215,,,319,342.0,93.3,71,86,23,431.7142857142857,97.37142857142858,7199,6268.714285714285,1498.1445985268706,False,9
53.0,52.857142857142854,2.6095064302514737,,,417,430.0,97.0,57,113,13,429.85714285714283,97.17142857142858,11834,6790.142857142857,2545.1750056771752,False,10
52.0,53.0,2.5166114784235782,,,467,481.0,97.1,96,83,14,432.2857142857143,97.45714285714287,5509,6808.0,2534.079451530016,False,11
52.0,53.0,2.5166114784235782,,,494,500.0,98.8,101,136,6,436.2857142857143,97.67142857142858,5353,6920.0,2433.9764446956615,False,12
60.0,54.42857142857143,3.2586880211286826,53.07142857142857,2.70225790815714,344,356.0,96.6,75,80,12,423.2857142857143,97.25714285714287,9900,7632.571428571428,2477.884773830484,False,13
